"host","records_per_host","avg_bow_size","min_bow_size","max_bow_size"
"www.federalregister.gov",21,1739,283,4211
"web.pdx.edu",21,12,1,50
"www.mpsr.sk",21,10313,35,110845
"iupac.pole-ether.fr",21,1367,577,2352
"www.tc.umn.edu",21,9,2,40
"spatialreference.org",21,23,10,34
"xbrl.sec.gov",20,1447,34,5520
"www.cs.uaf.edu",20,111,1,376
"ww2.chemistry.gatech.edu",20,60,4,105
"www.u.arizona.edu",20,10,2,46
"www.econ.ucdavis.edu",20,7,1,12
"fhdo.opus.hbz-nrw.de",20,85,27,583
"gis.hawaii.gov",20,26,10,322
"www.uwgb.edu",20,7,2,12
"ww2.sccsc.edu",20,6,5,8
"arno.uvt.nl",20,8497,26,31105
"www.divinity.cam.ac.uk",20,22,22,22
"maps.devotes.eu",20,291,21,569
"eerscmap.usgs.gov",20,312,58,809
"www.ecs.umass.edu",20,15,1,98
"pcrafi.spc.int",20,644,21,2008
"gorilla.ites.upr.edu",20,3302,2093,5365
"www2.bakersfieldcollege.edu",20,5,4,8
"www.cee.mtu.edu",20,18,2,108
"apply.learningabroad.utah.edu",20,27,27,27
"www.nhtsa.gov",20,210,3,1181
"www.phar.cam.ac.uk",20,20,17,22
"www.physics.purdue.edu",20,225,2,358
"www.geocommunicator.gov",20,2388,6,6377
"daviz.eionet.europa.eu",20,3901,13,34411
"sbl.web.arizona.edu",20,9,4,14
"www.infectiousdisease.cam.ac.uk",20,166,23,806
"www.niaid.nih.gov",20,947,789,1032
"mtweb.mtsu.edu",20,9,3,12
"www.nacme.org",20,35,34,37
"umbs.lsa.umich.edu",20,631,100,1419
"variety.wsu.edu",20,2,2,2
"www.cpcpara.ncep.noaa.gov",20,1536,11,13713
"www.csc.ncsu.edu",19,30,2,67
"www.byui.edu",19,302,15,2484
"ag.purdue.edu",19,721,487,855
"gee.cs.oswego.edu",19,2072,774,2273
"www.unicode.org",19,1303,2,2951
"data.kk.dk",19,113,46,240
"www.uwyo.edu",19,9,2,26
"data.ottawa.ca",19,467,19,6067
"services.geog.ksu.edu",19,568,42,6993
"scidok.sulb.uni-saarland.de",19,1367,27,9780
"bura.brunel.ac.uk",19,7703,1071,30014
"webservices.genouest.org",19,1353,994,2094
"webshares.northseattle.edu",19,8,2,12
"maps.norfolk.gov.uk",19,278,244,320
"www.nefsc.noaa.gov",19,229,2,3774
"echo.nasa.gov",19,689,1,4902
"faculty.maxwell.syr.edu",19,26,2,215
"citsci.syr.edu",19,131,43,253
"www.monroeccc.edu",19,2,2,2
"jogamp.org",19,57,46,75
"naip.giscenter.isu.edu",19,2440,22,7009
"neptune.nceas.ucsb.edu",19,820,555,1053
"datatank.gent.be",19,1145,9,9617
"efh-viewer.coas.oregonstate.edu",19,159,10,666
"psydok.sulb.uni-saarland.de",19,2586,25,20949
"data.stategrowth.tas.gov.au",19,91,27,188
"www.andrew.cmu.edu",19,19,1,128
"il.water.usgs.gov",19,9,4,30
"www.geology.wisc.edu",19,1435,4,7657
"www.stellarnet.eu",19,51,49,51
"mavdisk.mnsu.edu",19,20,1,50
"iwmw.ukoln.ac.uk",19,812,22,3164
"www.psfc.mit.edu",19,11,8,18
"startstudioarts.si.edu",19,771,30,7937
"data.ordnancesurvey.co.uk",19,182,68,793
"www.icesi.edu.co",19,8613,26,38476
"collections.britishart.yale.edu",19,1381,15,4953
"www.ncstatecollege.edu",19,56,2,260
"www.ietf.org",19,975,63,9943
"astro.physics.uiowa.edu",19,69,2,261
"www.pages.drexel.edu",19,16,2,122
"mgs.geology.wmich.edu",19,900,54,6992
"faculty.gvsu.edu",19,11,4,20
"entnem.ifas.ufl.edu",19,6,2,12
"www.research.psu.edu",19,555,17,1063
"www.hks.harvard.edu",19,7,2,14
"www.nsi.bg",18,1873,1090,4500
"ngamaps.geointapps.org",18,1130,10,7008
"groups.csail.mit.edu",18,220,14,454
"www.ll.mit.edu",18,350,8,3230
"www.polis.cam.ac.uk",18,23,19,25
"vlsstats.ifsttar.fr",18,472,4,5132
"www-bcf.usc.edu",18,8,2,34
"co2.jpl.nasa.gov",18,47,28,261
"www2.fiu.edu",18,15,2,132
"opendatacanarias.es",18,6407,77,37230
"spiff.rit.edu",18,1501,1025,2241
"www.cs.berkeley.edu",18,6,2,12
"www.kcet.org",18,2358,317,4598
"www.eng.auburn.edu",18,7,1,12
"datastori.es",18,31,22,35
"gamescrafters.berkeley.edu",18,342,101,868
"www.salforddataquay.uk",18,230,157,317
"pypi.python.org",18,739,17,5583
"www.salford.gov.uk",18,1335,409,5783
"www.veritas-project.eu",18,1189,536,2602
"www.ics.uci.edu",18,7,1,12
"www.orgs.ttu.edu",18,2,1,6
"europa.eu",18,2238,151,3961
"www.bme.ncsu.edu",18,61,61,61
"www.efmd.org",18,53,51,55
"nws.noaa.gov",18,444,1,2474
"data.c3.uts.edu.au",18,354,30,4287
"www.senate.gov",18,2224,26,10265
"see-math.math.tamu.edu",18,2250,899,6960
"dbis.ipd.kit.edu",18,621,441,820
"fresca.calstate.edu",18,550,164,3673
"ega.crg.eu",18,85,23,144
"sdsu-dspace.calstate.edu",18,142,29,462
"ww2.harford.edu",18,4,1,12
"data.abuledu.org",18,136,64,164
"www.uni.edu",18,10,2,42
"www.cdc.gov",18,344,10,1261
"www.pdx.edu",18,13,7,26
"www.maths.dur.ac.uk",18,1182,929,1896
"verc.enes.org",18,497,20,5530
"web.calstatela.edu",18,9,2,18
"ptl.sys.virginia.edu",18,130,2,270
"home.uchicago.edu",18,4,2,12
"api-test.echo.nasa.gov",18,1147,434,3502
"ils.unc.edu",18,203,10,456
"www.stat.berkeley.edu",18,197,2,338
"repo.grid.iu.edu",18,46,43,50
"testbed.echo.nasa.gov",18,1127,366,3502
"www.ceb.cam.ac.uk",18,23,19,24
"www.unco.edu",17,8,4,12
"www1.umn.edu",17,9,2,14
"www.psychometrics.cam.ac.uk",17,19,17,23
"home.southernct.edu",17,22,4,238
"www.imagemagick.org",17,501,4,2707
"campus-sas.csulb.edu",17,29,8,62
"jupiter.plymouth.edu",17,8,2,15
"www.wmich.edu",17,29,2,223
"uwf.edu",17,85,3,293
"web.gccaz.edu",17,7,1,12
"www.voservices.net",17,832,37,2049
"mrujs.mtroyal.ca",17,3119,23,22208
"www.niso.org",17,671,93,2708
"www.purdue.edu",17,1166,4,11329
"faculty.clinton.edu",17,9,4,12
"www.ehib.org",17,1162,674,1650
"www.ima.umn.edu",17,300,114,714
"www.astro.phy.cam.ac.uk",17,19,18,24
"www.uark.edu",17,8,2,12
"digitalarchive.wm.edu",17,61,9,385
"services.salford.gov.uk",17,1151,14,7237
"corn2.agron.iastate.edu",17,70,4,184
"www.jtsa.edu",17,25,10,57
"myocse.skidmore.edu",17,,,
"falcon-help.csx.cam.ac.uk",17,24,24,24
"math.wvu.edu",17,10,4,14
"geoservices.tamu.edu",17,487,2,1834
"faculty.harford.edu",17,8,2,12
"www.wwu.edu",17,6,1,12
"polisci.usca.edu",17,10,4,30
"gis.apfo.usda.gov",17,2025,9,6993
"cola.gmu.edu",17,9,4,18
"www.immunology.cam.ac.uk",17,23,18,23
"ssa.esac.esa.int",17,3786,20,51143
"www.asahq.org",17,560,9,3214
"hubofdata.ru",17,430,15,4469
"depthome.sunysuffolk.edu",17,9,4,12
"nowcoast.noaa.gov",16,436,2,2527
"www.pompeiiinpictures.eu",16,3,3,7
"earthobservatory.nasa.gov",16,500,2,2441
"ingmec.ual.es",16,138,39,1264
"www.nps.edu",16,333,70,1236
"dance.illinois.edu",16,36,36,37
"cmgm.stanford.edu",16,5,2,12
"zero.eng.ucmerced.edu",16,154,10,264
"www.sas.upenn.edu",16,7,2,24
"www.mrl.ucsb.edu",16,65,4,163
"opendata.northumberland.gov.uk",16,4719,23,15822
"providence-nursing.jobs",16,1778,6,8979
"www.agr.gc.ca",16,1684,270,6990
"faculty.fuqua.duke.edu",16,8,3,12
"www.nmfs.noaa.gov",16,1401,105,5103
"cdsp.edu",16,66,65,66
"faculty.cua.edu",16,8,1,12
"www.ma.utexas.edu",16,435,2,5075
"eas.uccs.edu",16,7,1,12
"www.hostos.cuny.edu",16,9,4,12
"www-rohan.sdsu.edu",16,12,2,62
"iag1.webarchiv.kit.edu",16,1543,822,3653
"facweb.bhc.edu",16,93,2,269
"stats.oecd.org",16,85,9,199
"webs.wofford.edu",16,7,4,12
"yolandadata.org",16,252,102,460
"www.hcn.org",16,370,16,792
"dimacs.rutgers.edu",16,5,2,22
"wiki.brookes.ac.uk",16,31,26,36
"userpages.umbc.edu",16,16,2,56
"www.ituc-csi.org",16,83,27,129
"dati.toscana.it",16,2011,31,17742
"web.utk.edu",16,35,2,200
"morgan.wells.edu",16,7,1,12
"creativecommons.org",16,300,20,658
"dml.indiana.edu",16,251,133,736
"www2.ag.purdue.edu",16,774,487,870
"www.wiche.edu",16,369,102,642
"www.spc.noaa.gov",16,91,4,422
"www2.hawaii.edu",16,6,1,12
"www.palomar.edu",16,48,2,309
"www.nymc.edu",16,9,4,18
"fhdd.opus.hbz-nrw.de",16,1886,25,13655
"faculty.evansville.edu",16,8,4,12
"www.eecs.berkeley.edu",16,35,2,198
"www.isis.vanderbilt.edu",16,87,34,219
"landfire.cr.usgs.gov",16,660,592,676
"oceanwatch.pfeg.noaa.gov",16,721,140,2017
"geoportal-geoportail.gc.ca",16,1947,10,8880
"offenedaten.de",16,3091,31,28503
"ares.tamu.edu",16,257,43,684
"ankn.uaf.edu",16,13,2,23
"fcportal.nsstc.nasa.gov",16,658,82,1000
"academics.smcvt.edu",16,8964,4,61896
"www.state.nj.us",16,147,56,290
"ag-radar.umext.maine.edu",16,5,5,5
"www.gnu.org",15,2000,10,8846
"www.hsph.harvard.edu",15,5,2,12
"www.sws.uiuc.edu",15,229,8,485
"www.science.marshall.edu",15,8,1,28
"www.icsu.org",15,2184,15,6878
"dev.ites.upr.edu",15,3607,2239,6116
"eusoils.jrc.ec.europa.eu",15,3854,4,19510
"ethics.sandiego.edu",15,6,6,8
"www1.mof.go.jp",15,,,
"bioweb.uwlax.edu",15,9,2,59
"www.jyu.fi",15,216,16,2515
"gozips.uakron.edu",15,16,3,118
"ebola-data.un.org",15,184,92,278
"mice.iit.edu",15,7,1,12
"www.sc.edu",15,8,1,19
"www.cs.rit.edu",15,37,7,151
"imina.soest.hawaii.edu",15,8,4,12
"pine.nmrfam.wisc.edu",15,8,2,12
"www.medschool.lsuhsc.edu",15,60,4,236
"www.idtheftcenter.org",15,37,37,38
"www.geosci-instrum-method-data-syst-discuss.net",15,3392,694,6497
"mapservices.nrel.gov",15,15,8,34
"bugs.freedesktop.org",15,1720,76,15565
"wwwagwx.ca.uky.edu",15,333,330,379
"www.path.cam.ac.uk",15,20,16,22
"polar.ncep.noaa.gov",15,72,15,334
"www.aae.wisc.edu",15,7,1,12
"repository.unm.edu",15,971,14,2012
"www.vasci.umass.edu",15,285,74,436
"www.natsci.tripos.cam.ac.uk",15,25,20,25
"maps.data.ug",15,259,21,576
"nap.geogratis.gc.ca",15,885,28,3837
"www.cl.cam.ac.uk",15,749,2,4952
"marianne.in2p3.fr",15,113,4,296
"www.nsf.gov",15,2485,6,8933
"www.role-widgetstore.eu",15,111,6,691
"www.cesr.ncsu.edu",15,8,4,12
"www.seasite.niu.edu",15,37,2,295
"studyaway.luther.edu",15,5,5,5
"www.isi.edu",15,314,10,2836
"www.geog.ucl.ac.uk",15,19,19,19
"www.anselm.edu",15,42,3,191
"image.data.cma.cn",15,17,4,40
"hcil2.cs.umd.edu",15,21,3,53
"www.ecu.edu",15,4,3,4
"alamoana.keck.hawaii.edu",15,7,4,12
"glbrc.kbs.msu.edu",15,1684,373,4380
"www.caee.utexas.edu",15,7,1,12
"marinemetadata.org",15,3949,12,39354
"data.hawaii.gov",15,3174,22,20944
"piers.iath.virginia.edu",15,5631,2212,10600
"www.physics.smu.edu",15,16,4,111
"www.ecn.ac.uk",15,1258,91,3232
"ags.giscenter.isu.edu",15,1157,11,7009
"www.edc.uri.edu",15,1311,696,2470
"services.kgs.ku.edu",15,324,10,909
"www.zambezicommission.org",15,27,24,28
"data.sustainability.glbrc.org",15,1684,373,4380
"geofaculty.uwyo.edu",14,6,3,12
"public.wsu.edu",14,58,2,374
"www.atmos.umd.edu",14,211,4,828
"hydrology.nws.noaa.gov",14,442,74,1732
"wwwghcc.msfc.nasa.gov",14,5,5,5
"ubt.opus.hbz-nrw.de",14,854,25,6457
"frap.fire.ca.gov",14,1702,147,15512
"coastwatch.pfel.noaa.gov",14,625,3,719
"kamome.lib.ynu.ac.jp",14,1710,22,20851
"www.gemfellowship.org",14,83,82,85
"www.broadbandmap.gov",14,344,77,1663
"www.openarchives.org",14,144,36,861
"datashare.is.ed.ac.uk",14,985,16,6588
"beta.ckan.org",14,40,7,152
"www.arch.ksu.edu",14,3,2,10
"www.lycoming.edu",14,7,4,12
"www.lehman.cuny.edu",14,8,1,12
"cdaweb.sci.gsfc.nasa.gov",14,604,21,6619
"users.clas.ufl.edu",14,7,2,12
"journal.embnet.org",14,24,22,25
"www.eeob.iastate.edu",14,4,2,10
"ai.stanford.edu",14,10,3,24
"opendata.fondazionetorinomusei.it",14,4549,252,33489
"www.winton.phy.cam.ac.uk",14,25,23,25
"www.staff.ncl.ac.uk",14,46,2,194
"bbsrcdtp.lifesci.cam.ac.uk",14,23,18,23
"www.knox.edu",14,59,14,89
"planning.ucsc.edu",14,23,3,269
"spot.colorado.edu",14,11,2,96
"academics.skidmore.edu",14,91,51,188
"bjohns.in",14,2787,24,18901
"cs.sou.edu",14,16,4,63
"www.deldot.gov",14,2410,19,7353
"www.otan.nato.int",14,135,58,236
"webservices.ecan.govt.nz",14,198,44,264
"minfin.ru",14,1077,8,4898
"digilib.gmu.edu",14,337,16,1063
"www.elcamino.edu",14,173,2,858
"www.hdfeos.org",14,732,5,5245
"www.plantsciences.ucdavis.edu",14,13,4,68
"www.biol.ttu.edu",14,22,3,101
"athenaeum.libs.uga.edu",14,2487,26,6088
"www.lsa.umich.edu",14,55,2,276
"www.math.iit.edu",14,1733,64,2703
"faculty.fordham.edu",14,7,3,12
"ejournals.bc.edu",14,2348,18,17139
"charm.cs.illinois.edu",14,1176,136,2212
"dingo.sbs.arizona.edu",14,3137,4,15189
"www.geneseo.edu",14,500,2,3544
"mab.blt.kit.edu",14,90,33,339
"lod.data-archive.ac.uk",14,123,65,281
"wserver.flc.losrios.edu",14,25,1,112
"www.nhcpara.noaa.gov",14,508,348,670
"www.inet.econ.cam.ac.uk",14,295,20,3831
"data.kbif.re.kr",14,82,69,101
"www.bucknell.edu",14,73,13,242
"southcentral.edu",13,37,36,37
"www.luresext.edu",13,5,4,6
"faculty.smu.edu",13,7,1,12
"data.go.id",13,557,16,2133
"scholarworks.alaska.edu",13,434,10,2688
"www.epic.noaa.gov",13,225,177,416
"www.ceibs.edu",13,8,1,12
"archive.dojotoolkit.org",13,43,4,154
"foreverdata.org",13,4573,46,31099
"isda.ncsa.uiuc.edu",13,65,8,301
"psych.hanover.edu",13,140,4,256
"cdxnodengn.epa.gov",13,331,41,808
"weblearn.ox.ac.uk",13,62,57,69
"seiscode.iris.washington.edu",13,959,41,6598
"www.oaklandcc.edu",13,3,2,4
"www.therapservices.net",13,22,22,22
"ndi1-sa-prod.cc.nd.edu",13,18,18,18
"www.oc.nps.edu",13,7,2,42
"data.semanticweb.org",13,4066,11,30434
"www.math.montana.edu",13,245,133,406
"www.plantsci.cam.ac.uk",13,23,18,23
"www.asprsfoundation.org",13,36,35,36
"emweb.unl.edu",13,74,16,150
"piratesabroad.ecu.edu",13,32,32,32
"rxnav.nlm.nih.gov",13,581,49,2013
"cset.nsu.edu",13,151,54,233
"km.aifb.kit.edu",13,289,87,515
"www.esc.cam.ac.uk",13,20,17,23
"userfs.cec.wustl.edu",13,8,1,12
"www.bauer.uh.edu",13,7,1,14
"sofia.er.usgs.gov",13,2127,643,6267
"csma31.csm.jmu.edu",13,24,2,153
"www.uclm.es",13,6,4,10
"www.environmentaldataexchange.org.uk",13,127,33,242
"opendata.admin.ch",13,126,111,158
"www.coe.ou.edu",13,8,6,12
"iridl.ldeo.columbia.edu",13,2024,33,17011
"www.ohio.edu",13,23,2,194
"casoilresource.lawr.ucdavis.edu",13,31,13,90
"external.opengeospatial.org",13,405,25,749
"www.hu.mtu.edu",13,3,2,6
"www.ms.uky.edu",13,13,2,106
"www.cp.berkeley.edu",13,8,4,12
"lamar.colostate.edu",13,11,2,54
"www.rso.wsu.edu",13,9,1,12
"gander.wustl.edu",13,152,11,287
"www.usna.edu",13,32,2,209
"www.math.ucdavis.edu",13,1819,5,3348
"www.fammed.ouhsc.edu",13,41,1,191
"www2.engr.arizona.edu",13,10,4,18
"www.sociology.cam.ac.uk",13,20,17,22
"dspace.vsb.cz",13,7097,30,22028
"dmc122011.delmar.edu",13,2,2,4
"sampleserver1.arcgisonline.com",13,1217,10,6378
"www.bentoweb.org",13,580,235,1333
"csci.biola.edu",13,8,1,12
"capone.mtsu.edu",13,575,2,6861
"wateroutreach.uwex.edu",13,6,6,6
"www.southalabama.edu",13,2,2,4
"www.nwscc.edu",13,42,2,263
"www.stonybrook.edu",13,16,5,34
"www2.chemistry.msu.edu",13,7,2,12
"biodiversity.europa.eu",13,67,14,500
"groups.inf.ed.ac.uk",13,4355,335,7300
"www.pmel.noaa.gov",13,89,1,527
"discovery.ac.uk",13,108,9,302
"www.ece.mtu.edu",13,7,1,12
"johnmuir.ucdavis.edu",12,1021,13,3661
"genchem.rutgers.edu",12,65,4,176
"sdw-wsrest.ecb.europa.eu",12,5487,115,35349
"www.stratigraphy.org",12,38,36,39
"minerals.usgs.gov",12,824,737,901
"njms.rutgers.edu",12,16,7,115
"climate.atmos.colostate.edu",12,21,20,24
"www.interfaith.cam.ac.uk",12,23,19,24
"ecee.colorado.edu",12,2,1,6
"www1.va.gov",12,1117,330,2137
"cs.wmich.edu",12,9,4,12
"coecsl.ece.illinois.edu",12,11,1,50
"www.catalog.arizona.edu",12,4,3,4
"www.cs.csi.cuny.edu",12,9,4,12
"www.ctahr.hawaii.edu",12,152,6,250
"www.math.duke.edu",12,566,4,4308
"www4.stat.ncsu.edu",12,8,4,12
"www.sciencecamps.psu.edu",12,991,14,2821
"www.iana.org",12,2612,24,19682
"faculty.haas.berkeley.edu",12,7,1,12
"cohesiondata.ec.europa.eu",12,6785,33,23633
"andromeda.rutgers.edu",12,15,2,150
"www.pigeon.psy.tufts.edu",12,145,6,289
"hrr.ul.hirosaki-u.ac.jp",12,6363,58,36709
"fosdem.org",12,1084,6,2291
"www.cs.trinity.edu",12,117,4,231
"astl.uta.edu",12,6,1,12
"muskingum.edu",12,241,8,390
"my.lavc.edu",12,41,4,204
"heliophysicsdata.sci.gsfc.nasa.gov",12,1152,728,2429
"www.oua.ox.ac.uk",12,7,4,12
"faculty.uml.edu",12,11,2,66
"abroad.lsu.edu",12,,,
"ds.iris.edu",12,7,2,42
"sites.duke.edu",12,22,22,22
"www.opendatacanarias.es",12,6725,84,38736
"darc.cms.udel.edu",12,8,4,12
"zimmer.csufresno.edu",12,14,4,26
"facultyfp.salisbury.edu",12,8,1,12
"news.fiu.edu",12,450,18,1178
"www.stat.purdue.edu",12,23,4,168
"cida.usgs.gov",12,3793,27,35497
"services.nconemap.gov",12,420,130,847
"spetsstroy.ru",12,43,6,141
"dna.kdna.ucla.edu",12,9,2,86
"opendata.larochelle.fr",12,2461,356,6308
"www.bowdoin.edu",12,62,1,376
"www.psu.edu",12,46,4,364
"web.vims.edu",12,1023,1,3035
"stedt.berkeley.edu",12,671,34,2656
"www.math.purdue.edu",12,7,1,12
"147.102.19.213",12,64,53,95
"rs.tdwg.org",12,2088,60,16622
"cwcgom.aoml.noaa.gov",12,235,67,464
"isis.astrogeology.usgs.gov",12,122,45,360
"cegis.usgs.gov",12,39,38,40
"www.citoyensunisdeurope.eu",12,233,7,529
"we13.swe.org",12,35,35,35
"wupcenter.mtu.edu",12,88,1,302
"framenet2.icsi.berkeley.edu",12,1217,411,2341
"gis.cnra.ca.gov",12,214,57,429
"pzacad.pitzer.edu",12,11,1,18
"www.fws.gov",12,1217,293,2958
"wolfweb.unr.edu",12,559,2,3077
"pdssbn.astro.umd.edu",12,116,50,255
"www.landxml.org",12,5483,33,10237
"www.ddialliance.org",12,2375,310,16799
"studentinvolvement.wustl.edu",12,789,708,870
"data.sa.gov.au",12,7507,1146,23367
"www.wiu.edu",12,33,3,98
"data.bgs.ac.uk",12,68,32,149
"planner.eionet.europa.eu",12,2357,970,4681
"www.gallaudet.edu",12,93,22,361
"www.roseindia.net",12,169,66,286
"users.wpi.edu",12,8,4,15
"dlib.indiana.edu",12,1808,265,3544
"www.radford.edu",12,2140,1,6362
"www.skidmore.edu",12,5,2,12
"www.ece.utah.edu",12,26,4,78
"portal.ina-sdi.or.id",12,167,33,768
"gis.indiana.edu",12,1518,265,7008
"cardinalscholar.bsu.edu",12,121,13,828
"omeka.stedwards.edu",11,240,199,333
"unlock.edina.ac.uk",11,366,1,1316
"opendata.caceres.es",11,999,315,6545
"www.gov.mt",11,783,56,2472
"connects.catalyst.harvard.edu",11,12134,1966,43748
"bd.org.tr",11,14822,81,81344
"ocw.ub.edu",11,51,16,269
"public.econ.duke.edu",11,8,1,12
"www.providence.edu",11,2582,627,4754
"infohost.nmt.edu",11,73,4,720
"implicit.che.utah.edu",11,9,4,12
"www.oardc.ohio-state.edu",11,42,2,306
"www.auburn.edu",11,8,2,12
"ws03.iula.upf.edu",11,943,296,1718
"byss.arc.nasa.gov",11,6,4,8
"intlsa.uoregon.edu",11,61,61,61
"www.fishwatch.gov",11,89,68,118
"basepub.dauphine.fr",11,5007,369,7110
"www.energy.cam.ac.uk",11,20,20,20
"cse.unl.edu",11,8,4,12
"edaff.siumed.edu",11,6,6,6
"earq.uprrp.edu",11,10,6,12
"wortschatz.uni-leipzig.de",11,132,132,132
"cyber.law.harvard.edu",11,47,2,65
"users.ece.utexas.edu",11,9,2,12
"deichstadtradio.radioactive101.eu",11,108,25,264
"husmann.ra.no",11,374,32,970
"www.lautreagence.eu",11,44,44,45
"maps.bristol.gov.uk",11,561,392,1472
"www.usg.edu",11,2657,1022,4647
"data.international.gc.ca",11,5735,4,26193
"www.icao.int",11,6,1,12
"apps.geomatics.gov.nt.ca",11,186,15,855
"www.ccpo.odu.edu",11,139,2,246
"faculty.uscupstate.edu",11,8,4,12
"neurosurgery.mgh.harvard.edu",11,462,122,1116
"islandia.law.yale.edu",11,9,4,12
"www.mldata.org",11,854,221,6741
"ewp.rpi.edu",11,11,4,22
"biosci-labs.unl.edu",11,6,1,12
"tds.glos.us",11,1114,395,3684
"jerlab.psych.sc.edu",11,8,4,18
"faculty.wwu.edu",11,7,1,12
"solarphysics.livingreviews.org",11,1570,70,16135
"gci.upf.edu",11,79,45,150
"www.ouhsc.edu",11,59,4,243
"www.njcu.edu",11,214,150,420
"help.datahub.io",11,150,60,428
"www.bnrc.berkeley.edu",11,39,38,41
"pubs.bli.uci.edu",11,193,81,269
"www.math.ucsd.edu",11,130,1,844
"www.usca.edu",11,5,2,12
"books.bk.tudelft.nl",11,1558,248,3820
"revue.umc.edu.dz",11,7749,48,27254
"www.wacd.ucla.edu",11,41,39,42
"archiva.eionet.europa.eu",11,10,2,57
"schemas.opengis.net",11,151,33,285
"www.emsa.europa.eu",11,83,82,85
"www2.estrellamountain.edu",11,26,2,196
"cloud.sdsc.edu",11,625,5,2359
"www.idevelopment.info",11,299,12,2235
"ramanujan.math.trinity.edu",11,1746,903,3370
"www.emc.ncep.noaa.gov",11,46,2,189
"www-bsac.eecs.berkeley.edu",11,10,4,12
"www.hicahs.colostate.edu",11,12,10,28
"ritdml.rit.edu",11,126,10,795
"data.gov.bf",11,852,60,3974
"www.vet.cam.ac.uk",11,23,23,23
"www-users.york.ac.uk",11,7,2,12
"www.ace-eco.org",11,6834,34,37528
"frap.cdf.ca.gov",11,2058,147,15517
"iula02v.upf.edu",11,2656,17,13126
"acd.ucar.edu",11,9,4,15
"www.rsu.edu",11,201,75,410
"caremed.eng.usf.edu",11,17,16,20
"web.uflib.ufl.edu",11,16,12,20
"hdfeos.org",11,921,7,5245
"www.unr.edu",11,1052,120,6375
"www.nationalpostdoc.org",11,50,49,50
"www.law.illinois.edu",11,126,4,249
"www.antherm.eu",11,638,148,1747
"www.ee.siue.edu",11,9,3,12
"community.middlebury.edu",11,7,2,12
