"tag","match_type","num"
"metadata/idinfo/citation/status/progress","cooluri",1
"metadata/idinfo/crossref/citeinfo/onlink","doi",330
"metadata/idinfo/crossref/citeinfo/onlink","md5",15
"metadata/idinfo/crossref/citeinfo/onlink","cooluri",5
"metadata/idinfo/crossref/citeinfo/onlink","uuid",2
"metadata/idinfo/crossref/citeinfo/onlink","urn",1
"metadata/idinfo/crossref/citeinfo/othercit","doi",91
"metadata/idinfo/crossref/citeinfo/othercit","cooluri",14
"metadata/idinfo/crossref/citeinfo/othercit","md5",1
"metadata/idinfo/crossref/citeinfo/title","urn",4
"metadata/idinfo/crossref/citeinfo/title","doi",3
"metadata/idinfo/datacred","doi",47
"metadata/idinfo/datsetid","text",1326
"metadata/idinfo/descript/abstract","doi",58
"metadata/idinfo/descript/abstract","md5",17
"metadata/idinfo/descript/abstract","urn",9
"metadata/idinfo/descript/abstract","cooluri",4
"metadata/idinfo/descript/abstract","uuid",2
"metadata/idinfo/descript/noaainfo/reference","doi",1
"metadata/idinfo/descript/purpose","urn",758
"metadata/idinfo/descript/purpose","cooluri",1
"metadata/idinfo/descript/supplinf","md5",116
"metadata/idinfo/descript/supplinf","urn",85
"metadata/idinfo/descript/supplinf","cooluri",58
"metadata/idinfo/descript/supplinf","doi",45
"metadata/idinfo/descript/supplinf","uuid",5
"metadata/idinfo/ptcontac/cntinfo/cntemail","urn",1
"metadata/idinfo/spdom/descgeog","urn",4
"metadata/idinfo/spdom/multimal/ovlpdtid/datsetid","text",1
"metadata/idinfo/tool/toolcite/citeinfo/onlink","cooluri",1
"metadata/idinfo/tool/toolcite/citeinfo/onlink","md5",1
"metadata/idinfo/useconst","urn",2
"metadata/idinfo/useconst","doi",1
"metadata/link_landing","uuid",3
"metadata/mdContact/editorDigest","md5",78
"Metadata/mdContact/rpOrgName/@SDNIdent","urn",2
"Metadata/mdExtInfo/extEleInfo/extEleName","urn",10
"metadata/mdFileID","uuid",207
"Metadata/mdHrLvName/@SDNIdent","urn",2
"metadata/mdMaint/maintCont/editorDigest","md5",127
"metadata/meta","uuid",19
"metadata/metainfo/metc/cntinfo/cntinst","cooluri",2
"metadata/metainfo/metc/cntinfo/hours","urn",1
"metadata/metainfo/metextns/onlink","cooluri",2
"metadata/metainfo/metuc","uuid",6
"metadata/package/description","cooluri",3
"metadata/package/format/file","cooluri",177
"metadata/package/format/requires/entry/@name","cooluri",4
"metadata/ph/methodReference","doi",2
"metadata/plmiinfo/missinfo/missdesc","urn",4
"metadata/plmiinfo/missinfo/misshist/misssige/procstep/procdesc","urn",4
"metadata/project/idinfo/descript/supplinf","doi",16
"metadata/project/idinfo/ids/projguid","uuid",42
"metadata/project/idinfo/publication/citeinfo/onlink/link","doi",26
"metadata/purpose","urn",1
"metadata/reference","doi",2
"Metadata/refSysInfo/MdCoRefSys/refSysID/identCode/@SDNIdent","urn",1
"metadata/resources/resource/resource_url","uuid",8
"Metadata/spatRepInfo/GridSpatRep/axDimProps/Dimen/dimResol/Distance/uomName/@SDNIdent","urn",2
"metadata/suppleInfo","doi",1
"metadata/variable/methodReference","doi",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/@href","uuid",1
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","md5",15
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",21
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/identifier/MD_Identifier/code/Anchor","text",1
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/identifier/MD_Identifier/code/Anchor/@title","text",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/identifier/MD_Identifier/code/CharacterString","text",1659
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/identifier/@nilReason","text",1
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/@uuid","uuid",92
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/objective/SDN_Objective/identifier/MD_Identifier/code/CharacterString","text",7
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/objective/SDN_Objective/objectiveOccurrence/MI_Event/identifier/MD_Identifier/code/CharacterString","text",7
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/objective/SDN_Objective/sensingInstrument/MI_Instrument/identifier/MD_Identifier/code/CharacterString","text",7
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/objective/SDN_Objective/sensingInstrument/MI_Instrument/mountedOn/MI_Platform/identifier/MD_Identifier/code/CharacterString","text",7
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/description/CharacterString","urn",7
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/applicationProfile/CharacterString","text",4
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/description/CharacterString","text",4
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode","text",4
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/name/CharacterString","text",4
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/protocol/CharacterString","text",4
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/organisationName/CharacterString","text",4
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode","text",4
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/authority/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode","text",4
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/authority/CI_Citation/edition/CharacterString","text",4
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/authority/CI_Citation/editionDate/Date","text",4
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/authority/CI_Citation/title/CharacterString","text",4
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/code/Anchor","text",1
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/code/Anchor/@title","text",1
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/identifier/MD_Identifier/code/CharacterString","text",103
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/platform/MI_Platform/identifier/MD_Identifier/code/Anchor","text",1
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/platform/MI_Platform/identifier/MD_Identifier/code/Anchor/@actuate","text",1
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/significantEvent/MI_Event/identifier/MD_Identifier/code/CharacterString","text",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/@href","uuid",9
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/description/CharacterString","urn",3
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/alternateTitle/CharacterString","text",6
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/address/CI_Address/administrativeArea/CharacterString","text",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/address/CI_Address/city/CharacterString","text",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/address/CI_Address/country/CharacterString","text",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/address/CI_Address/deliveryPoint/CharacterString","text",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/address/CI_Address/electronicMailAddress/CharacterString","text",82
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/address/CI_Address/postalCode/CharacterString","text",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/contactInstructions/CharacterString","text",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/applicationProfile/CharacterString","text",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/description/CharacterString","text",175
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode","text",95
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","text",80
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/name/CharacterString","text",173
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/protocol/CharacterString","text",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/@uuid","uuid",84
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/@title","text",80
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/organisationName/CharacterString","text",95
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/positionName/CharacterString","text",80
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode","text",93
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/@uuid","md5",82
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/@uuid","uuid",82
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/@href","md5",5
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/@href","uuid",5
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/@title","text",94
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/date/CI_Date/date/Date","text",93
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode","text",87
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode/@codeSpace","text",4
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/title/CharacterString","text",109
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/authority/CI_Citation/@uuid","md5",87
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/code/CharacterString","text",775
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/MD_Identifier/code/@nilReason","text",20
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/identifier/RS_Identifier/code/CharacterString","text",906
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/instrument/@href","uuid",28
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/instrument/MI_Instrument/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","md5",625
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/instrument/MI_Instrument/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",1228
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/instrument/MI_Instrument/identifier/MD_Identifier/code/CharacterString","text",4644
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/instrument/MI_Instrument/identifier/MD_Identifier/code/@nilReason","text",20
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/instrument/MI_Instrument/@uuid","uuid",4515
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/instrument/MI_Instrument/@uuid","md5",52
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/sponsor/CI_ResponsibleParty/@uuid","uuid",717
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/sponsor/CI_ResponsibleParty/@uuid","md5",33
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/sponsor/@href","uuid",5
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/@uuid","uuid",516
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/@uuid","md5",26
"MI_Metadata/contact/CI_ResponsibleParty/@uuid","uuid",61
"MI_Metadata/contact/CI_ResponsibleParty/@uuid","md5",4
"MI_Metadata/contact/@href","uuid",1067
"MI_Metadata/contentInfo/featureCatalogue/MD_FeatureCatalogue/featureType/FC_FeatureType/carrierOfCharacteristics/FC_FeatureAttribute/code/CharacterString","urn",3
"MI_Metadata/contentInfo/MD_CoverageDescription/dimension/MD_Band/units/UnitDefinition/name","urn",6
"MI_Metadata/contentInfo/MD_CoverageDescription/@uuid","uuid",187
"MI_Metadata/contentInfo/MD_FeatureCatalogueDescription/featureCatalogueCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/@uuid","uuid",43
"MI_Metadata/contentInfo/MD_FeatureCatalogueDescription/featureCatalogueCitation/CI_Citation/citedResponsibleParty/@href","uuid",2088
"MI_Metadata/contentInfo/MD_FeatureCatalogueDescription/featureCatalogueCitation/CI_Citation/citedResponsibleParty/@href","md5",1
"MI_Metadata/contentInfo/MD_FeatureCatalogueDescription/featureCatalogueCitation/CI_Citation/otherCitationDetails/CharacterString","urn",21
"MI_Metadata/contentInfo/MD_FeatureCatalogueDescription/featureCatalogueCitation/CI_Citation/otherCitationDetails/CharacterString","doi",2
"MI_Metadata/contentInfo/MD_FeatureCatalogueDescription/featureCatalogueCitation/CI_Citation/otherCitationDetails/CharacterString","cooluri",2
"MI_Metadata/contentInfo/MD_FeatureCatalogueDescription/featureCatalogueCitation/CI_Citation/otherCitationDetails/CharacterString","md5",1
"MI_Metadata/contentInfo/MD_FeatureCatalogueDescription/featureCatalogueCitation/CI_Citation/title/CharacterString","urn",2
"MI_Metadata/contentInfo/MD_ImageDescription/dimension/MD_Band/units/UnitDefinition/identifier/@codeSpace","text",20
"MI_Metadata/contentInfo/MI_CoverageDescription/dimension/MD_Band/descriptor/CharacterString","urn",7
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/description/CharacterString","cooluri",81
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/description/CharacterString","urn",10
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/description/CharacterString","doi",8
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/algorithm/LE_Algorithm/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",9
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/algorithm/LE_Algorithm/citation/CI_Citation/@uuid","uuid",10
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/documentation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",7
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/identifier/MD_Identifier/code/CharacterString","text",39
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/softwareReference/CI_Citation/@uuid","uuid",4
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processor/CI_ResponsibleParty/@uuid","uuid",47
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processor/CI_ResponsibleParty/@uuid","md5",6
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processor/@href","uuid",143
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/@uuid","uuid",1
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LI_ProcessStep/description/CharacterString","urn",4
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LI_ProcessStep/description/CharacterString","cooluri",2
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LI_ProcessStep/description/CharacterString","doi",1
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LI_ProcessStep/processor/CI_ResponsibleParty/@uuid","uuid",41
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LE_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","doi",3
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LE_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","uuid",1
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LE_Source/sourceCitation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",11
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LE_Source/sourceCitation/CI_Citation/identifier/MD_Identifier/code/CharacterString","doi",1
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LE_Source/sourceExtent/EX_Extent/temporalElement/EX_TemporalExtent/extent/TimePeriod/@id","uuid",1
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/description/CharacterString","urn",1
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","uuid",6
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","urn",6
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","md5",3
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","doi",2
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/@uuid","uuid",8
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/@uuid","md5",1
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",41
